# id	left	top	right	bottom	texture_id
[SPRITES]
# Ground 
#top(width = 15, height = 15)
51000	443	154	458	169	41
52000	460	154	475	169	41
53000	477	154	492	169	41
#bot
53100	443	171	458	186	41
53200	460	171	475	186	41
53300	477	171	492	186	41

# Cloud (width: 15, height : 15)
54000	698	1	713	16	41

##DECORATION
#CLOUD
#top
60100	715	1	730	16	41
60101	732	1	747	16	41
60102	749	1	764	16	41
#bot
60200	715	18	730	33	41
60201	732	18	747	33	41
60202	749	18	764	33	41


#Tree
#short
61001	375	324	390	339	41
#tall
#top
61100	307	307	322	322	41
61101	324	307	339	322	41
#bot
61102	307	324	322	339	41
61103	324	324	339	339	41
#body	
61104	341	324	356	339	41
