[SPRITES]

#PIPE
##Green
#Top LEFT & RIGHT (width = 15, height = 15)
45001	69	35	84	50	41
45002	86	35	101	50	41
#Body LEFT & RIGHT (width = 14, height = 15)
45101	69	52	84	67	41
45102	86	52	101	67	41
##Black
#Top LEFT & RIGHT (width = 15, height = 15)
45003	1	69	16	84	41
45004	18	69	33	84	41
#Body LEFT & RIGHT (width = 14, height = 15)
45103	1	86	16	101	41
45104	18	86	33	101	41

#RECTANGLE
#Pink (width: 15, height: 15)
#top 
46001	919	137	934	152	41
46002	936	137	951	152	41
46003	953	137	968	152	41
#mid
46004	919	154	934	169	41
46005	936	154	951	169	41
46006	953	154	968	169	41
#bot
46007	919	171	934	186	41
46008	936	171	951	186	41
46009	953	171	968	186	41

#Blu (width: 15, height: 15)
#top 
46011	970	137	985	152	41
46012	987	137	1002	152	41
46013	1004	137	1019	152	41
#mid
46014	970	154	985	169	41
46015	987	154	1002	169	41
46016	1004	154	1019	169	41
#bot
46017	970	171	985	186	41
46018	987	171	1002	186	41
46019	1004	171	1019	186	41

#Green(width: 15, height: 15)
#top 
46021	919	188	934	203	41
46022	936	188	951	203	41
46023	953	188	968	203	41
#mid
46024	919	205	934	220	41
46025	936	205	951	220	41
46026	953	205	968	220	41
#bot
46027	919	222	934	237	41
46028	936	222	951	237	41
46029	953	222	968	237	41

#White(width: 15, height: 15)
#top 
46031	970	188	985	203	41
46032	987	188	1002	203	41
46033	1004	188	1019	203	41
#mid
46034	970	205	985	220	41
46035	987	205	1002	220	41
46036	1004	205	1019	220	41
#bot
46037	970	222	985	237	41
46038	987	222	1002	237	41
46039	1004	222	1019	237	41

#shadow
46040	1030	230	1038	238	41
